workerid,proliferate.condition,time_in_minutes,error
926,condition1,2.5148,
895,condition1,2.65925,
924,condition1,8.567733333333333,
899,condition1,3.97985,
900,condition1,7.23975,
947,condition1,3.599283333333333,
823,condition1,2.8936,
893,condition1,5.770716666666667,
916,condition1,2.1736833333333334,
942,condition1,4.53425,
896,condition1,3.2452833333333335,
948,condition1,2.474283333333333,
930,condition1,3.89315,
923,condition1,2.3958666666666666,
883,condition1,3.5802833333333335,
919,condition1,5.509966666666666,
925,condition1,3.69525,
957,condition1,5.0929166666666665,
918,condition1,2.4006666666666665,
901,condition1,5.077683333333334,
912,condition1,6.95335,
915,condition1,12.0153,
907,condition1,7.4401,
902,condition1,2.1644833333333335,
928,condition1,6.1127666666666665,
920,condition1,2.7317666666666667,
892,condition1,5.052866666666667,
886,condition1,3.514866666666667,
931,condition1,6.47485,
