workerid,proliferate.condition,time_in_minutes,error
53,condition1,4.267883333333334,
60,condition1,5.2732833333333335,
62,condition1,5.691483333333333,
16,condition1,7.286,
75,condition1,21.685283333333334,
55,condition1,5.1943166666666665,
69,condition1,3.8029333333333337,
77,condition1,6.833933333333333,
80,condition1,8.994783333333332,
27,condition1,4.551433333333334,
67,condition1,15.625766666666667,
48,condition1,4.137316666666667,
24,condition1,3.00985,
38,condition1,5.078533333333334,
76,condition1,5.157466666666667,
78,condition1,4.61045,
84,condition1,10.173933333333334,
13,condition1,9.0398,
74,condition1,5.304383333333333,
23,condition1,6.15555,
66,condition1,4.464816666666667,
10,condition1,4.686616666666667,
71,condition1,8.206916666666666,
43,condition1,11.88055,
79,condition1,6.15305,
89,condition1,3.1138166666666667,
51,condition1,8.31255,
39,condition1,4.987783333333334,
81,condition1,5.547066666666667,
64,condition1,6.39345,
50,condition1,6.255133333333333,
21,condition1,4.20785,
119,condition1,8.49815,
59,condition1,4.6328,
65,condition1,7.918666666666667,
117,condition1,6.5493,
52,condition1,6.535,
12,condition1,8.216083333333334,
63,condition1,10.285666666666666,
4,condition1,4.98375,
83,condition1,4.16235,
49,condition1,4.86615,
120,condition1,3.926516666666666,
68,condition1,4.28595,
70,condition1,7.98555,
61,condition1,9.04425,
73,condition1,2.4845,
54,condition1,6.137016666666667,
14,condition1,5.776666666666666,
58,condition1,6.587633333333334,
