workerid,proliferate.condition,adj,label,object,response,rt,slide_number_in_experiment,utterance,error
116,condition1,,,Jessica,Jessica,0,1,bot_check,
116,condition1,straight,hair_straight_blond,hair,[0.25],7234,3,,
116,condition1,long,pencil_long_black,pencil,[0.89],4382,4,,
116,condition1,fat,woman2_happy_fat,woman,[1],3887,5,,
116,condition1,old,man_old_bearded,man,[0.74],2589,6,,
116,condition1,spotted,frog_spotted_green,frog,[0.16],5444,7,,
116,condition1,cardboard,box_closed_cardboard,box,[0.11],5693,8,,
116,condition1,colored,picture_colored_rectangular,picture,[0.15],5532,9,,
116,condition1,dry,shorts_dry_green,shorts,[0.35],4750,10,,
116,condition1,open,box_open_cardboard,box,[0.42],3034,11,,
116,condition1,clean-shaven,man_old_cleanshaven,man,[0.07],3458,12,,
116,condition1,clean,spoon_metal_clean,spoon,[0.82],3694,13,,
116,condition1,sad,woman_old_sad,woman,[1],2346,14,,
116,condition1,blue,pencil_long_blue,pencil,[0.25],4924,15,,
116,condition1,curly,hair_curly_blonde,hair,[0.16],2730,16,,
116,condition1,young,man_young_bearded,man,[0.94],2436,17,,
116,condition1,green,frog_spotted_green,frog,[0.17],1950,18,,
116,condition1,dirty,spoon_metal_dirty,spoon,[1],2562,19,,
116,condition1,red,frog_spotted_red,frog,[0.17],4242,20,,
116,condition1,happy,woman_old_happy,woman,[1],1904,21,,
116,condition1,black and white,picture_bw_rectangular,picture,[0.74],5294,22,,
116,condition1,metal,spoon_metal_clean,spoon,[0.08],5052,23,,
116,condition1,round,earring_big_round,earring,[0.07],2700,24,,
116,condition1,bearded,man_old_bearded,man,[0.2],2490,25,,
116,condition1,mustache-touting,man2_mustached_glassed,man,[0.1],3518,26,,
116,condition1,square,picture_bw_square,picture,[0.11],3002,27,,
116,condition1,blond,hair_curly_blonde,hair,[0.28],2924,28,,
116,condition1,short,pencil_short_black,pencil,[0.71],2530,29,,
116,condition1,striped,frog_striped_green,frog,[0.15],3455,30,,
116,condition1,closed,box_closed_cardboard,box,[0.48],3802,31,,
116,condition1,hat-wearing,man2_bearded_hatted,man,[0.01],2471,32,,
116,condition1,plastic,bottle_plastic_big,bottle,[0.45],3289,33,,
116,condition1,glossy,nails_black_glossy,nails,[0.42],2506,34,,
116,condition1,high,table_metal_high,table,[0.89],2274,35,,
116,condition1,glasses-wearing,man2_bearded_glassed,man,[0.06],2452,36,,
