workerid,proliferate.condition,time_in_minutes,error
903,condition1,3.5894,
943,condition1,4.233266666666666,
888,condition1,7.283566666666666,
894,condition1,6.6513333333333335,
908,condition1,2.228833333333333,
940,condition1,3.31615,
929,condition1,5.105166666666666,
934,condition1,5.66435,
904,condition1,4.382716666666667,
891,condition1,4.067333333333333,
914,condition1,4.197533333333333,
938,condition1,5.521483333333333,
889,condition1,6.202216666666667,
917,condition1,3.99935,
905,condition1,1.5921166666666666,
922,condition1,6.73145,
911,condition1,2.7339,
958,condition1,5.02275,
921,condition1,4.657216666666667,
909,condition1,2.411783333333333,
890,condition1,6.04935,
913,condition1,3.4740166666666665,
897,condition1,2.54145,
887,condition1,3.91305,
898,condition1,7.190466666666667,
927,condition1,4.680583333333334,
964,condition1,4.6539166666666665,
906,condition1,5.126833333333333,
824,condition1,12.188983333333333,
