workerid,proliferate.condition,adj,label,object,response,rt,slide_number_in_experiment,utterance,error
110,condition1,striped,frog_striped_green,frog,[0.3],4912,39,,
110,condition1,glossy,nails_black_glossy,nails,[0.73],5440,40,,
110,condition1,skinny,woman2_happy_skinny,woman,[0.6],3712,41,,
110,condition1,low,table_metal_low,table,[0.74],4360,42,,
110,condition1,spotted,frog_spotted_green,frog,[0.68],4880,43,,
110,condition1,clean-shaven,man_old_cleanshaven,man,[0.16],4128,44,,
110,condition1,big,bottle_glass_big,bottle,[0.78],4560,45,,
110,condition1,long,pencil_long_black,pencil,[0.68],4496,46,,
110,condition1,blond,hair_curly_blonde,hair,[0.63],8111,47,,
110,condition1,cardboard,box_closed_cardboard,box,[0.26],3598,48,,
109,condition1,,,Elizabeth,Elizabeth,0,1,bot_check,
109,condition1,striped,frog_striped_green,frog,[0.31],16367,3,,
109,condition1,wet,shorts_wet_green,shorts,[0.1],3440,4,,
109,condition1,dry,shorts_dry_green,shorts,[0.16],3328,5,,
109,condition1,short,pencil_short_black,pencil,[0.77],5376,6,,
109,condition1,low,table_metal_low,table,[0.78],2864,7,,
109,condition1,plastic,bottle_plastic_big,bottle,[0.1],3216,8,,
109,condition1,bearded,man_old_bearded,man,[0.06],2528,9,,
109,condition1,dirty,spoon_metal_dirty,spoon,[0.05],2944,10,,
109,condition1,open,box_open_cardboard,box,[0.07],2080,11,,
109,condition1,spotted,frog_spotted_green,frog,[0.07],2632,12,,
109,condition1,red,frog_spotted_red,frog,[0.13],2648,13,,
109,condition1,fat,woman2_happy_fat,woman,[0.86],3096,14,,
109,condition1,glass,bottle_glass_big,bottle,[0.07],2472,15,,
109,condition1,big,bottle_glass_big,bottle,[0.85],3328,16,,
109,condition1,round,earring_big_round,earring,[0.07],2864,17,,
109,condition1,colored,picture_colored_rectangular,picture,[0.09],2768,18,,
109,condition1,black and white,picture_bw_rectangular,picture,[0.06],2928,19,,
109,condition1,long,pencil_long_black,pencil,[0.9],2680,20,,
109,condition1,wooden,spoon_wooden_clean,spoon,[0.08],2792,21,,
109,condition1,closed,box_closed_cardboard,box,[0.06],2168,22,,
109,condition1,green,frog_spotted_green,frog,[0.11],2112,23,,
