workerid,prolific_participant_id
116,<no-id>
20,<no-id>
47,<no-id>
45,<no-id>
42,<no-id>
37,<no-id>
17,<no-id>
11,<no-id>
19,<no-id>
28,<no-id>
26,<no-id>
41,<no-id>
22,<no-id>
29,<no-id>
35,<no-id>
1,<no-id>
18,<no-id>
15,<no-id>
25,<no-id>
30,<no-id>
36,<no-id>
7,<no-id>
34,<no-id>
6,<no-id>
40,<no-id>
46,<no-id>
8,<no-id>
105,<no-id>
31,<no-id>
33,<no-id>
