workerid,proliferate.condition,adj1,adj2,label,left_end,left_end_tr,object,response,right_end,right_end_tr,rt,slide_number_in_experiment,trial_type,error
973,condition1,,,,,,beyaz,beyaz,,,0,1,bot_check,
973,condition1,wooden,clean,spoon_wooden_clean,"""wooden clean spoon""","""tahta temiz kaşık""",spoon,[0.94],"""clean wooden spoon""","""temiz tahta kaşık""",4775,3,,
973,condition1,straight,brown,hair_straight_brown,"""straight brown hair""","""düz kahverengi saç""",hair,[0.11],"""brown straight hair""","""kahverengi düz saç""",26607,4,,
973,condition1,wooden,dirty,spoon_wooden_dirty,"""dirty wooden spoon""","""kirli tahta kaşık""",spoon,[0.1],"""wooden dirty spoon""","""tahta kirli kaşık""",26177,5,,
973,condition1,red,matte,nails_red_matte,"""red matte nails""","""kırmızı mat oje""",nails,[0.9],"""matte red nails""","""mat kırmızı oje""",34454,6,,
973,condition1,black and white,square,picture_bw_square,"""black and white square picture""","""siyah beyaz kare resim""",picture,[0.13],"""square black and white picture""","""kare siyah beyaz resim""",11289,7,,
973,condition1,big,round,earring_big_round,"""big round earring""","""büyük yuvarlak küpe""",earring,[0.16],"""round big earring""","""yuvarlak büyük küpe""",32080,8,,
973,condition1,open,wooden,box_open_wood,"""open wooden box""","""açık tahta kutu""",box,[0.13],"""wooden open box""","""tahta açık kutu""",38320,9,,
973,condition1,black,matte,nails_black_matte,"""black matte nails""","""siyah mat oje""",nails,[0.9],"""matte black nails""","""mat siyah oje""",33321,10,,
973,condition1,curly,brown,hair_curly_brown,"""curly brown hair""","""kıvırcık kahverengi saç""",hair,[0.15],"""brown curly hair""","""kahverengi kıvırcık saç""",29032,11,,
973,condition1,young,bearded,man_young_bearded,"""bearded young man""","""sakallı genç adam""",man,[0.89],"""young bearded man""","""genç sakallı adam""",51503,12,,
973,condition1,open,cardboard,box_open_cardboard,"""open cardboard box""","""açık karton kutu""",box,[0],"""cardboard open box""","""karton açık kutu""",42989,13,,
973,condition1,colored,square,picture_colored_square,"""colored square picture""","""renkli kare resim""",picture,[0.91],"""square colored picture""","""kare renkli resim""",133630,14,,
973,condition1,closed,cardboard,box_closed_cardboard,"""closed cardboard box""","""kapalı karton kutu""",box,[0.06],"""cardboard closed box""","""karton kapalı kutu""",44304,15,,
973,condition1,glass,big,bottle_glass_big,"""glass big bottle""","""cam büyük şişe""",bottle,[0.89],"""big glass bottle""","""büyük cam şişe""",99587,16,,
973,condition1,young,sad,woman_young_sad,"""sad young woman""","""mutsuz genç kadın""",woman,[0.05],"""young sad woman""","""genç mutsuz kadın""",47526,17,,
973,condition1,glass,small,bottle_glass_small,"""small glass bottle""","""küçük cam şişe""",bottle,[0.94],"""glass small bottle""","""cam küçük şişe""",342193,18,,
973,condition1,happy,skinny,woman2_happy_skinny,"""happy skinny woman""","""mutlu zayıf kadın""",woman,[0.08],"""skinny happy woman""","""zayıf mutlu kadın""",54502,19,,
973,condition1,young,clean-shaven,man_young_cleanshaven,"""young clean-shaven man""","""genç sakalsız adam""",man,[0.95],"""clean-shaven young man""","""sakalsız genç adam""",34990,20,,
973,condition1,long,black,pencil_long_black,"""long black pencil""","""uzun siyah kalem""",pencil,[0.07],"""black long pencil""","""siyah uzun kalem""",7028,21,,
973,condition1,old,clean-shaven,man_old_cleanshaven,"""old clean-shaven man""","""yaşlı sakalsız adam""",man,[0.1],"""clean-shaven old man""","""sakalsız yaşlı adam""",2950,22,,
973,condition1,metal,low,table_metal_low,"""metal low table""","""metal alçak masa""",table,[0.92],"""low metal table""","""alçak metal masa""",2194,23,,
973,condition1,young,happy,woman_young_happy,"""happy young woman""","""mutlu genç kadın""",woman,[0.1],"""young happy woman""","""genç mutlu kadın""",1838,24,,
973,condition1,bearded,hat-wearing,man2_bearded_hatted,"""hat-wearing bearded man""","""şapkalı sakallı adam""",man,[0.07],"""bearded hat-wearing man""","""sakallı şapkalı adam""",2479,25,,
973,condition1,striped,red,frog_striped_red,"""striped red frog""","""çizgili kırmızı kurbağa""",frog,[0.95],"""red striped frog""","""kırmızı çizgili kurbağa""",2363,26,,
973,condition1,dry,green,shorts_dry_green,"""green dry shorts""","""yeşil kuru şort""",shorts,[0.91],"""dry green shorts""","""kuru yeşil şort""",2684,27,,
973,condition1,short,blue,pencil_short_blue,"""short blue pencil""","""kısa mavi kalem""",pencil,[0.07],"""blue short pencil""","""mavi kısa kalem""",2018,28,,
973,condition1,short,black,pencil_short_black,"""black short pencil""","""siyah kısa kalem""",pencil,[0.92],"""short black pencil""","""kısa siyah kalem""",1930,29,,
973,condition1,curly,blond,hair_curly_blonde,"""curly blond hair""","""kıvırcık sarı saç""",hair,[0.11],"""blond curly hair""","""sarı kıvırcık saç""",1714,30,,
973,condition1,old,bearded,man_old_bearded,"""old bearded man""","""yaşlı sakallı adam""",man,[0.07],"""bearded old man""","""sakallı yaşlı adam""",2054,31,,
973,condition1,black and white,rectangular,picture_bw_rectangular,"""black and white rectangular picture""","""siyah beyaz dikdörtgen resim""",picture,[0.08],"""rectangular black and white picture""","""dikdörtgen siyah beyaz resim""",3791,32,,
973,condition1,colored,rectangular,picture_colored_rectangular,"""colored rectangular picture""","""renkli dikdörtgen resim""",picture,[0.89],"""rectangular colored picture""","""dikdörtgen renkli resim""",2408,33,,
973,condition1,spotted,red,frog_spotted_red,"""spotted red frog""","""benekli kırmızı kurbağa""",frog,[0.92],"""red spotted frog""","""kırmızı benekli kurbağa""",2604,34,,
973,condition1,small,triangular,earring_small_triangular,"""small triangular earring""","""küçük üçgen küpe""",earring,[0.08],"""triangular small earring""","""üçgen küçük küpe""",2202,35,,
973,condition1,sad,fat,woman2_sad_fat,"""fat sad woman""","""şişman mutsuz kadın""",woman,[0.06],"""sad fat woman""","""mutsuz şişman kadın""",5072,36,,
973,condition1,plastic,small,bottle_plastic_small,"""small plastic bottle""","""küçük plastik şişe""",bottle,[0.06],"""plastic small bottle""","""plastik küçük şişe""",2580,37,,
