workerid,proliferate.condition,adj1,adj2,label,left_end,left_end_tr,object,response,right_end,right_end_tr,rt,slide_number_in_experiment,trial_type,error
973,condition1,sad,skinny,woman2_sad_skinny,"""skinny sad woman""","""zayıf mutsuz kadın""",woman,[0],"""sad skinny woman""","""mutsuz zayıf kadın""",4568,38,,
973,condition1,striped,green,frog_striped_green,"""green striped frog""","""yeşil çizgili kurbağa""",frog,[0.05],"""striped green frog""","""çizgili yeşil kurbağa""",2306,39,,
973,condition1,wet,red,shorts_wet_red,"""wet red shorts""","""ıslak kırmızı şort""",shorts,[0.94],"""red wet shorts""","""kırmızı ıslak şort""",2824,40,,
973,condition1,mustache-touting,glasses-wearing,man2_mustached_glassed,"""glasses-wearing mustache-touting man""","""gözlüklü bıyıklı adam""",man,[0.49],"""mustache-touting glasses-wearing man""","""bıyıklı gözlüklü adam""",6254,41,,
973,condition1,wooden,low,table_wood_low,"""low wooden table""","""alçak tahta masa""",table,[0.1],"""wooden low table""","""tahta alçak masa""",2592,42,,
973,condition1,mustache-touting,hat-wearing,man2_mustached_hatted,"""hat-wearing mustache-touting man""","""şapkalı bıyıklı adam""",man,[0.06],"""mustache-touting hat-wearing man""","""bıyıklı şapkalı adam""",2168,43,,
973,condition1,bearded,glasses-wearing,man2_bearded_glassed,"""glasses-wearing bearded man""","""gözlüklü sakallı adam""",man,[0.04],"""bearded glasses-wearing man""","""sakallı gözlüklü adam""",1980,44,,
973,condition1,long,blue,pencil_long_blue,"""blue long pencil""","""mavi uzun kalem""",pencil,[0.96],"""long blue pencil""","""uzun mavi kalem""",2188,45,,
973,condition1,wooden,high,table_wood_high,"""high wooden table""","""yüksek tahta masa""",table,[0.05],"""wooden high table""","""tahta yüksek masa""",1946,46,,
973,condition1,closed,wooden,box_closed_wood,"""closed wooden box""","""kapalı tahta kutu""",box,[0.02],"""wooden closed box""","""tahta kapalı kutu""",2298,47,,
973,condition1,straight,blond,hair_straight_blonde,"""blond straight hair""","""sarı düz saç""",hair,[0.95],"""straight blond hair""","""düz sarı saç""",2190,48,,
973,condition1,metal,high,table_metal_high,"""high metal table""","""yüksek metal masa""",table,[0.03],"""metal high table""","""metal yüksek masa""",2342,49,,
973,condition1,red,glossy,nails_red_glossy,"""red glossy nails""","""kırmızı parlak oje""",nails,[0.97],"""glossy red nails""","""parlak kırmızı oje""",3942,50,,
973,condition1,plastic,big,bottle_plastic_big,"""plastic big bottle""","""plastik büyük şişe""",bottle,[0.92],"""big plastic bottle""","""büyük plastik şişe""",2176,51,,
973,condition1,old,sad,woman_old_sad,"""old sad woman""","""yaşlı mutsuz kadın""",woman,[0.91],"""sad old woman""","""mutsuz yaşlı kadın""",1966,52,,
973,condition1,metal,clean,spoon_metal_clean,"""metal clean spoon""","""metal temiz kaşık""",spoon,[0.93],"""clean metal spoon""","""temiz metal kaşık""",2299,53,,
973,condition1,spotted,green,frog_spotted_green,"""green spotted frog""","""yeşil benekli kurbağa""",frog,[0.05],"""spotted green frog""","""benekli yeşil kurbağa""",2589,54,,
973,condition1,black,glossy,nails_black_glossy,"""black glossy nails""","""siyah parlak oje""",nails,[0.97],"""glossy black nails""","""parlak siyah oje""",3608,55,,
973,condition1,small,round,earring_small_round,"""round small earring""","""yuvarlak küçük küpe""",earring,[0.94],"""small round earring""","""küçük yuvarlak küpe""",2038,56,,
973,condition1,big,triangular,earring_big_triangular,"""big triangular earring""","""büyük üçgen küpe""",earring,[0.06],"""triangular big earring""","""üçgen büyük küpe""",2390,57,,
973,condition1,wet,green,shorts_wet_green,"""green wet shorts""","""yeşil ıslak şort""",shorts,[0.95],"""wet green shorts""","""ıslak yeşil şort""",2048,58,,
973,condition1,old,happy,woman_old_happy,"""happy old woman""","""mutlu yaşlı kadın""",woman,[0.04],"""old happy woman""","""yaşlı mutlu kadın""",3252,59,,
973,condition1,metal,dirty,spoon_metal_dirty,"""metal dirty spoon""","""metal kirli kaşık""",spoon,[0.49],"""dirty metal spoon""","""kirli metal kaşık""",3488,60,,
973,condition1,happy,fat,woman2_happy_fat,"""fat happy woman""","""şişman mutlu kadın""",woman,[0.95],"""happy fat woman""","""mutlu şişman kadın""",3302,61,,
973,condition1,dry,red,shorts_dry_red,"""dry red shorts""","""kuru kırmızı şort""",shorts,[0.04],"""red dry shorts""","""kırmızı kuru şort""",2988,62,,
968,condition1,,,,,,beyaz,Beyaz,,,0,1,bot_check,
968,condition1,spotted,green,frog_spotted_green,"""spotted green frog""","""benekli yeşil kurbağa""",frog,[0.96],"""green spotted frog""","""yeşil benekli kurbağa""",9521,3,,
968,condition1,wet,green,shorts_wet_green,"""wet green shorts""","""ıslak yeşil şort""",shorts,[0.02],"""green wet shorts""","""yeşil ıslak şort""",8776,4,,
968,condition1,short,blue,pencil_short_blue,"""blue short pencil""","""mavi kısa kalem""",pencil,[0.97],"""short blue pencil""","""kısa mavi kalem""",6207,5,,
968,condition1,short,black,pencil_short_black,"""short black pencil""","""kısa siyah kalem""",pencil,[0.01],"""black short pencil""","""siyah kısa kalem""",5030,6,,
968,condition1,bearded,hat-wearing,man2_bearded_hatted,"""hat-wearing bearded man""","""şapkalı sakallı adam""",man,[0.98],"""bearded hat-wearing man""","""sakallı şapkalı adam""",11126,7,,
968,condition1,dry,green,shorts_dry_green,"""green dry shorts""","""yeşil kuru şort""",shorts,[0.02],"""dry green shorts""","""kuru yeşil şort""",8492,8,,
968,condition1,metal,dirty,spoon_metal_dirty,"""metal dirty spoon""","""metal kirli kaşık""",spoon,[0.98],"""dirty metal spoon""","""kirli metal kaşık""",14842,9,,
968,condition1,small,triangular,earring_small_triangular,"""small triangular earring""","""küçük üçgen küpe""",earring,[0.03],"""triangular small earring""","""üçgen küçük küpe""",7675,10,,
968,condition1,bearded,glasses-wearing,man2_bearded_glassed,"""bearded glasses-wearing man""","""sakallı gözlüklü adam""",man,[0],"""glasses-wearing bearded man""","""gözlüklü sakallı adam""",6940,11,,
968,condition1,spotted,red,frog_spotted_red,"""spotted red frog""","""benekli kırmızı kurbağa""",frog,[0.97],"""red spotted frog""","""kırmızı benekli kurbağa""",5493,12,,
968,condition1,glass,big,bottle_glass_big,"""glass big bottle""","""cam büyük şişe""",bottle,[0.97],"""big glass bottle""","""büyük cam şişe""",6830,13,,
968,condition1,old,clean-shaven,man_old_cleanshaven,"""clean-shaven old man""","""sakalsız yaşlı adam""",man,[0.98],"""old clean-shaven man""","""yaşlı sakalsız adam""",8798,14,,
968,condition1,big,round,earring_big_round,"""big round earring""","""büyük yuvarlak küpe""",earring,[0.01],"""round big earring""","""yuvarlak büyük küpe""",9404,15,,
968,condition1,colored,square,picture_colored_square,"""colored square picture""","""renkli kare resim""",picture,[0.02],"""square colored picture""","""kare renkli resim""",6904,16,,
968,condition1,young,clean-shaven,man_young_cleanshaven,"""young clean-shaven man""","""genç sakalsız adam""",man,[0.99],"""clean-shaven young man""","""sakalsız genç adam""",4035,17,,
968,condition1,plastic,small,bottle_plastic_small,"""small plastic bottle""","""küçük plastik şişe""",bottle,[0.01],"""plastic small bottle""","""plastik küçük şişe""",7406,18,,
968,condition1,open,cardboard,box_open_cardboard,"""open cardboard box""","""açık karton kutu""",box,[0.03],"""cardboard open box""","""karton açık kutu""",5347,19,,
968,condition1,striped,red,frog_striped_red,"""red striped frog""","""kırmızı çizgili kurbağa""",frog,[0],"""striped red frog""","""çizgili kırmızı kurbağa""",5722,20,,
968,condition1,long,blue,pencil_long_blue,"""long blue pencil""","""uzun mavi kalem""",pencil,[0.04],"""blue long pencil""","""mavi uzun kalem""",5773,21,,
968,condition1,small,round,earring_small_round,"""round small earring""","""yuvarlak küçük küpe""",earring,[0.98],"""small round earring""","""küçük yuvarlak küpe""",4273,22,,
968,condition1,black,glossy,nails_black_glossy,"""black glossy nails""","""siyah parlak oje""",nails,[0.98],"""glossy black nails""","""parlak siyah oje""",13299,23,,
968,condition1,metal,low,table_metal_low,"""low metal table""","""alçak metal masa""",table,[0],"""metal low table""","""metal alçak masa""",7258,24,,
968,condition1,young,sad,woman_young_sad,"""young sad woman""","""genç mutsuz kadın""",woman,[0.97],"""sad young woman""","""mutsuz genç kadın""",8329,25,,
968,condition1,red,glossy,nails_red_glossy,"""glossy red nails""","""parlak kırmızı oje""",nails,[0.99],"""red glossy nails""","""kırmızı parlak oje""",7891,26,,
968,condition1,black,matte,nails_black_matte,"""matte black nails""","""mat siyah oje""",nails,[0.95],"""black matte nails""","""siyah mat oje""",5463,27,,
968,condition1,old,bearded,man_old_bearded,"""old bearded man""","""yaşlı sakallı adam""",man,[0.05],"""bearded old man""","""sakallı yaşlı adam""",15558,28,,
968,condition1,big,triangular,earring_big_triangular,"""big triangular earring""","""büyük üçgen küpe""",earring,[0.04],"""triangular big earring""","""üçgen büyük küpe""",5415,29,,
968,condition1,glass,small,bottle_glass_small,"""glass small bottle""","""cam küçük şişe""",bottle,[0.94],"""small glass bottle""","""küçük cam şişe""",4731,30,,
968,condition1,mustache-touting,hat-wearing,man2_mustached_hatted,"""hat-wearing mustache-touting man""","""şapkalı bıyıklı adam""",man,[0.98],"""mustache-touting hat-wearing man""","""bıyıklı şapkalı adam""",5472,31,,
968,condition1,old,sad,woman_old_sad,"""sad old woman""","""mutsuz yaşlı kadın""",woman,[0.95],"""old sad woman""","""yaşlı mutsuz kadın""",3638,32,,
968,condition1,plastic,big,bottle_plastic_big,"""plastic big bottle""","""plastik büyük şişe""",bottle,[0.95],"""big plastic bottle""","""büyük plastik şişe""",2948,33,,
968,condition1,sad,skinny,woman2_sad_skinny,"""sad skinny woman""","""mutsuz zayıf kadın""",woman,[0.96],"""skinny sad woman""","""zayıf mutsuz kadın""",3689,34,,
968,condition1,straight,brown,hair_straight_brown,"""brown straight hair""","""kahverengi düz saç""",hair,[0.98],"""straight brown hair""","""düz kahverengi saç""",4169,35,,
968,condition1,wooden,high,table_wood_high,"""wooden high table""","""tahta yüksek masa""",table,[0.96],"""high wooden table""","""yüksek tahta masa""",3811,36,,
968,condition1,happy,skinny,woman2_happy_skinny,"""happy skinny woman""","""mutlu zayıf kadın""",woman,[0.96],"""skinny happy woman""","""zayıf mutlu kadın""",4780,37,,
968,condition1,curly,blond,hair_curly_blonde,"""blond curly hair""","""sarı kıvırcık saç""",hair,[0.02],"""curly blond hair""","""kıvırcık sarı saç""",9306,38,,
968,condition1,colored,rectangular,picture_colored_rectangular,"""rectangular colored picture""","""dikdörtgen renkli resim""",picture,[0.96],"""colored rectangular picture""","""renkli dikdörtgen resim""",9535,39,,
968,condition1,metal,high,table_metal_high,"""high metal table""","""yüksek metal masa""",table,[0.02],"""metal high table""","""metal yüksek masa""",7871,40,,
968,condition1,striped,green,frog_striped_green,"""green striped frog""","""yeşil çizgili kurbağa""",frog,[0],"""striped green frog""","""çizgili yeşil kurbağa""",12649,41,,
968,condition1,sad,fat,woman2_sad_fat,"""fat sad woman""","""şişman mutsuz kadın""",woman,[0.98],"""sad fat woman""","""mutsuz şişman kadın""",18813,42,,
968,condition1,open,wooden,box_open_wood,"""wooden open box""","""tahta açık kutu""",box,[0.96],"""open wooden box""","""açık tahta kutu""",6509,43,,
968,condition1,mustache-touting,glasses-wearing,man2_mustached_glassed,"""glasses-wearing mustache-touting man""","""gözlüklü bıyıklı adam""",man,[0.98],"""mustache-touting glasses-wearing man""","""bıyıklı gözlüklü adam""",3465,44,,
968,condition1,straight,blond,hair_straight_blonde,"""blond straight hair""","""sarı düz saç""",hair,[0.97],"""straight blond hair""","""düz sarı saç""",3481,45,,
968,condition1,black and white,square,picture_bw_square,"""square black and white picture""","""kare siyah beyaz resim""",picture,[0.98],"""black and white square picture""","""siyah beyaz kare resim""",6302,46,,
968,condition1,curly,brown,hair_curly_brown,"""brown curly hair""","""kahverengi kıvırcık saç""",hair,[0.02],"""curly brown hair""","""kıvırcık kahverengi saç""",5909,47,,
968,condition1,closed,cardboard,box_closed_cardboard,"""cardboard closed box""","""karton kapalı kutu""",box,[0.98],"""closed cardboard box""","""kapalı karton kutu""",7148,48,,
968,condition1,long,black,pencil_long_black,"""black long pencil""","""siyah uzun kalem""",pencil,[0.99],"""long black pencil""","""uzun siyah kalem""",3092,49,,
968,condition1,young,happy,woman_young_happy,"""happy young woman""","""mutlu genç kadın""",woman,[0.97],"""young happy woman""","""genç mutlu kadın""",5675,50,,
968,condition1,red,matte,nails_red_matte,"""red matte nails""","""kırmızı mat oje""",nails,[0.98],"""matte red nails""","""mat kırmızı oje""",4795,51,,
968,condition1,young,bearded,man_young_bearded,"""young bearded man""","""genç sakallı adam""",man,[0.96],"""bearded young man""","""sakallı genç adam""",3117,52,,
968,condition1,dry,red,shorts_dry_red,"""red dry shorts""","""kırmızı kuru şort""",shorts,[0.97],"""dry red shorts""","""kuru kırmızı şort""",5497,53,,
968,condition1,wet,red,shorts_wet_red,"""red wet shorts""","""kırmızı ıslak şort""",shorts,[1],"""wet red shorts""","""ıslak kırmızı şort""",9112,54,,
968,condition1,happy,fat,woman2_happy_fat,"""happy fat woman""","""mutlu şişman kadın""",woman,[0.96],"""fat happy woman""","""şişman mutlu kadın""",14835,55,,
968,condition1,wooden,low,table_wood_low,"""wooden low table""","""tahta alçak masa""",table,[0.98],"""low wooden table""","""alçak tahta masa""",6872,56,,
968,condition1,black and white,rectangular,picture_bw_rectangular,"""black and white rectangular picture""","""siyah beyaz dikdörtgen resim""",picture,[0.98],"""rectangular black and white picture""","""dikdörtgen siyah beyaz resim""",5007,57,,
968,condition1,metal,clean,spoon_metal_clean,"""metal clean spoon""","""metal temiz kaşık""",spoon,[0.96],"""clean metal spoon""","""temiz metal kaşık""",5952,58,,
968,condition1,wooden,dirty,spoon_wooden_dirty,"""wooden dirty spoon""","""tahta kirli kaşık""",spoon,[0.98],"""dirty wooden spoon""","""kirli tahta kaşık""",5410,59,,
968,condition1,wooden,clean,spoon_wooden_clean,"""clean wooden spoon""","""temiz tahta kaşık""",spoon,[0.02],"""wooden clean spoon""","""tahta temiz kaşık""",4445,60,,
968,condition1,old,happy,woman_old_happy,"""old happy woman""","""yaşlı mutlu kadın""",woman,[0.97],"""happy old woman""","""mutlu yaşlı kadın""",3891,61,,
968,condition1,closed,wooden,box_closed_wood,"""closed wooden box""","""kapalı tahta kutu""",box,[0.01],"""wooden closed box""","""tahta kapalı kutu""",8216,62,,
971,condition1,,,,,,beyaz,beyaz,,,0,1,bot_check,
971,condition1,small,round,earring_small_round,"""small round earring""","""küçük yuvarlak küpe""",earring,[0.36],"""round small earring""","""yuvarlak küçük küpe""",20803,3,,
971,condition1,old,bearded,man_old_bearded,"""old bearded man""","""yaşlı sakallı adam""",man,[0.72],"""bearded old man""","""sakallı yaşlı adam""",17500,4,,
971,condition1,wooden,high,table_wood_high,"""wooden high table""","""tahta yüksek masa""",table,[0.85],"""high wooden table""","""yüksek tahta masa""",8594,5,,
971,condition1,closed,cardboard,box_closed_cardboard,"""cardboard closed box""","""karton kapalı kutu""",box,[0.98],"""closed cardboard box""","""kapalı karton kutu""",8841,6,,
971,condition1,straight,brown,hair_straight_brown,"""straight brown hair""","""düz kahverengi saç""",hair,[0.9],"""brown straight hair""","""kahverengi düz saç""",11716,7,,
971,condition1,bearded,hat-wearing,man2_bearded_hatted,"""bearded hat-wearing man""","""sakallı şapkalı adam""",man,[0.21],"""hat-wearing bearded man""","""şapkalı sakallı adam""",16153,8,,
971,condition1,sad,skinny,woman2_sad_skinny,"""skinny sad woman""","""zayıf mutsuz kadın""",woman,[0.85],"""sad skinny woman""","""mutsuz zayıf kadın""",5636,9,,
971,condition1,spotted,green,frog_spotted_green,"""spotted green frog""","""benekli yeşil kurbağa""",frog,[0.3],"""green spotted frog""","""yeşil benekli kurbağa""",9868,10,,
971,condition1,wooden,dirty,spoon_wooden_dirty,"""dirty wooden spoon""","""kirli tahta kaşık""",spoon,[0.01],"""wooden dirty spoon""","""tahta kirli kaşık""",9323,11,,
971,condition1,big,triangular,earring_big_triangular,"""triangular big earring""","""üçgen büyük küpe""",earring,[0.97],"""big triangular earring""","""büyük üçgen küpe""",11132,12,,
971,condition1,curly,brown,hair_curly_brown,"""brown curly hair""","""kahverengi kıvırcık saç""",hair,[0.99],"""curly brown hair""","""kıvırcık kahverengi saç""",8076,13,,
971,condition1,mustache-touting,hat-wearing,man2_mustached_hatted,"""hat-wearing mustache-touting man""","""şapkalı bıyıklı adam""",man,[0.27],"""mustache-touting hat-wearing man""","""bıyıklı şapkalı adam""",17168,14,,
971,condition1,open,wooden,box_open_wood,"""open wooden box""","""açık tahta kutu""",box,[0.02],"""wooden open box""","""tahta açık kutu""",5908,15,,
971,condition1,dry,green,shorts_dry_green,"""dry green shorts""","""kuru yeşil şort""",shorts,[0.04],"""green dry shorts""","""yeşil kuru şort""",6451,16,,
971,condition1,metal,high,table_metal_high,"""high metal table""","""yüksek metal masa""",table,[0.01],"""metal high table""","""metal yüksek masa""",44542,17,,
971,condition1,wooden,low,table_wood_low,"""low wooden table""","""alçak tahta masa""",table,[0],"""wooden low table""","""tahta alçak masa""",6114,18,,
971,condition1,happy,fat,woman2_happy_fat,"""fat happy woman""","""şişman mutlu kadın""",woman,[0.96],"""happy fat woman""","""mutlu şişman kadın""",12005,19,,
971,condition1,plastic,big,bottle_plastic_big,"""big plastic bottle""","""büyük plastik şişe""",bottle,[0.01],"""plastic big bottle""","""plastik büyük şişe""",6849,20,,
971,condition1,happy,skinny,woman2_happy_skinny,"""happy skinny woman""","""mutlu zayıf kadın""",woman,[0.01],"""skinny happy woman""","""zayıf mutlu kadın""",15900,21,,
971,condition1,glass,small,bottle_glass_small,"""glass small bottle""","""cam küçük şişe""",bottle,[0.98],"""small glass bottle""","""küçük cam şişe""",6943,22,,
971,condition1,striped,green,frog_striped_green,"""striped green frog""","""çizgili yeşil kurbağa""",frog,[0.99],"""green striped frog""","""yeşil çizgili kurbağa""",7985,23,,
971,condition1,black and white,rectangular,picture_bw_rectangular,"""black and white rectangular picture""","""siyah beyaz dikdörtgen resim""",picture,[0.99],"""rectangular black and white picture""","""dikdörtgen siyah beyaz resim""",24506,24,,
971,condition1,closed,wooden,box_closed_wood,"""closed wooden box""","""kapalı tahta kutu""",box,[0.03],"""wooden closed box""","""tahta kapalı kutu""",5309,25,,
971,condition1,young,sad,woman_young_sad,"""young sad woman""","""genç mutsuz kadın""",woman,[0.96],"""sad young woman""","""mutsuz genç kadın""",6365,26,,
971,condition1,old,sad,woman_old_sad,"""old sad woman""","""yaşlı mutsuz kadın""",woman,[0.98],"""sad old woman""","""mutsuz yaşlı kadın""",13347,27,,
971,condition1,old,happy,woman_old_happy,"""old happy woman""","""yaşlı mutlu kadın""",woman,[0.98],"""happy old woman""","""mutlu yaşlı kadın""",7144,28,,
971,condition1,short,blue,pencil_short_blue,"""blue short pencil""","""mavi kısa kalem""",pencil,[0.99],"""short blue pencil""","""kısa mavi kalem""",7491,29,,
971,condition1,long,black,pencil_long_black,"""long black pencil""","""uzun siyah kalem""",pencil,[0.02],"""black long pencil""","""siyah uzun kalem""",103860,30,,
971,condition1,black,glossy,nails_black_glossy,"""glossy black nails""","""parlak siyah oje""",nails,[0.04],"""black glossy nails""","""siyah parlak oje""",5856,31,,
971,condition1,curly,blond,hair_curly_blonde,"""blond curly hair""","""sarı kıvırcık saç""",hair,[0.96],"""curly blond hair""","""kıvırcık sarı saç""",4499,32,,
971,condition1,black,matte,nails_black_matte,"""black matte nails""","""siyah mat oje""",nails,[0.04],"""matte black nails""","""mat siyah oje""",4771,33,,
971,condition1,red,matte,nails_red_matte,"""matte red nails""","""mat kırmızı oje""",nails,[0.97],"""red matte nails""","""kırmızı mat oje""",5603,34,,
971,condition1,sad,fat,woman2_sad_fat,"""sad fat woman""","""mutsuz şişman kadın""",woman,[0.02],"""fat sad woman""","""şişman mutsuz kadın""",5297,35,,
971,condition1,metal,clean,spoon_metal_clean,"""clean metal spoon""","""temiz metal kaşık""",spoon,[0.01],"""metal clean spoon""","""metal temiz kaşık""",7595,36,,
971,condition1,straight,blond,hair_straight_blonde,"""blond straight hair""","""sarı düz saç""",hair,[0.97],"""straight blond hair""","""düz sarı saç""",10720,37,,
971,condition1,big,round,earring_big_round,"""big round earring""","""büyük yuvarlak küpe""",earring,[0.03],"""round big earring""","""yuvarlak büyük küpe""",16060,38,,
971,condition1,long,blue,pencil_long_blue,"""blue long pencil""","""mavi uzun kalem""",pencil,[0.02],"""long blue pencil""","""uzun mavi kalem""",45339,39,,
971,condition1,young,bearded,man_young_bearded,"""bearded young man""","""sakallı genç adam""",man,[0.97],"""young bearded man""","""genç sakallı adam""",7518,40,,
971,condition1,metal,dirty,spoon_metal_dirty,"""dirty metal spoon""","""kirli metal kaşık""",spoon,[0.02],"""metal dirty spoon""","""metal kirli kaşık""",5325,41,,
971,condition1,striped,red,frog_striped_red,"""red striped frog""","""kırmızı çizgili kurbağa""",frog,[0.02],"""striped red frog""","""çizgili kırmızı kurbağa""",4154,42,,
971,condition1,mustache-touting,glasses-wearing,man2_mustached_glassed,"""mustache-touting glasses-wearing man""","""bıyıklı gözlüklü adam""",man,[0.92],"""glasses-wearing mustache-touting man""","""gözlüklü bıyıklı adam""",7676,43,,
971,condition1,wooden,clean,spoon_wooden_clean,"""wooden clean spoon""","""tahta temiz kaşık""",spoon,[0.96],"""clean wooden spoon""","""temiz tahta kaşık""",4794,44,,
971,condition1,small,triangular,earring_small_triangular,"""triangular small earring""","""üçgen küçük küpe""",earring,[0.33],"""small triangular earring""","""küçük üçgen küpe""",12488,45,,
971,condition1,plastic,small,bottle_plastic_small,"""plastic small bottle""","""plastik küçük şişe""",bottle,[0.02],"""small plastic bottle""","""küçük plastik şişe""",9960,46,,
971,condition1,young,happy,woman_young_happy,"""young happy woman""","""genç mutlu kadın""",woman,[0.48],"""happy young woman""","""mutlu genç kadın""",125753,47,,
