workerid,proliferate.condition,Browser,OS,screenH,screenW,error
973,condition1,Chrome,Windows,864,1536,
968,condition1,Safari,Mac,1050,1680,
971,condition1,Chrome,Windows,720,1280,
936,condition1,Chrome,Windows,768,1366,
955,condition1,Chrome,Mac,800,1280,
951,condition1,Chrome,Linux,864,1536,
941,condition1,Chrome,Windows,864,1536,
954,condition1,Chrome,Windows,900,1600,
966,condition1,Firefox,Windows,1080,1920,
962,condition1,Chrome,Mac,900,1440,
910,condition1,Chrome,Windows,900,1600,
953,condition1,Chrome,Windows,864,1536,
952,condition1,Chrome,Windows,864,1536,
949,condition1,Chrome,Windows,1080,1920,
945,condition1,Chrome,Linux,811,385,
969,condition1,Chrome,Mac,900,1440,
944,condition1,Firefox,Windows,1080,1920,
950,condition1,Chrome,Windows,768,1366,
967,condition1,Firefox,Windows,1152,2048,
972,condition1,Chrome,Windows,864,1536,
946,condition1,Chrome,Windows,768,1366,
939,condition1,Chrome,Windows,1050,1680,
961,condition1,Chrome,Mac,800,1280,
963,condition1,Chrome,Windows,1200,1920,
959,condition1,Chrome,Mac,900,1440,
965,condition1,Safari,iPhone/iPod,568,320,
935,condition1,Chrome,Mac,800,1280,
956,condition1,Chrome,Windows,864,1536,
933,condition1,Chrome,Windows,1080,1920,
937,condition1,Chrome,Windows,1235,1852,
970,condition1,Netscape,Windows,768,1024,
